"Gene","ACC_HR","BLCA_HR","BRCA_HR","CESC_HR","CHOL_HR","COAD_HR","DLBC_HR","ESCA_HR","GBM_HR","HNSC_HR","KICH_HR","KIRC_HR","KIRP_HR","LAML_HR","LGG_HR","LIHC_HR","LUAD_HR","LUSC_HR","MESO_HR","OV_HR","PAAD_HR","PCPG_HR","PRAD_HR","READ_HR","SARC_HR","SKCM_HR","STAD_HR","TGCT_HR","THCA_HR","THYM_HR","UCEC_HR","UCS_HR","UVM_HR"
"ABHD17C",3.7,0.77,1.1,0.85,0.97,0.97,0.74,0.94,1.2,0.96,2.4,0.85,1.4,2.2,1,1.3,1.1,0.83,2.4,1,1.9,6.4e+08,1.2,0.76,1.1,0.77,0.88,0.95,0.81,8.5,0.7,0.99,1.5
"ABHD2",1.1,1.1,1.2,1.1,0.63,1.5,1,1.1,1.1,1.1,3.3,1,0.89,1,1.4,0.92,0.97,1.1,1.3,1.3,1.6,5.9e+08,1.4,0.47,0.93,0.9,0.94,0.55,2.9,1,1.4,0.8,1.6
"ABHD3",2.8,0.8,1.1,0.99,0.23,0.74,0.14,1.1,1.2,0.73,1.6,1.1,1.6,1,1.7,1.6,1.2,1.1,1.9,1,1.1,2.1,0.27,0.58,1.2,0.9,0.91,0.53,1.2,0.077,1.6,1.2,4.4
"ABHD4",1.5,1.2,1,0.97,0.55,1.2,1.3,1.1,0.89,1.1,0.65,0.94,1.7,0.56,0.9,1.3,1.6,0.87,0.69,1.1,1.4,0.37,0.73,3.3,0.79,1.1,1.1,0.41,1.2,2.8,0.94,0.81,1.8
"ABHD5",1,1.2,1.1,1.1,0.49,0.73,2.3,1.2,0.96,0.96,8.2,0.71,0.94,0.8,1.1,1.3,1.2,1.2,1.1,0.91,1.1,1.9,1.4,0.55,1.1,1.2,1.1,0.4,2.4,1.1,0.99,1.6,1.1
"ABHD6",1.1,1,0.95,0.97,0.7,0.61,4.1,0.87,0.91,1.1,1.1,1,0.46,1.3,0.58,0.87,0.81,1,0.88,1.1,1,5.9,2.3,1.1,0.92,1.2,1.4,0.55,0.87,1.6,1.2,1,0.38
"ABHD8",1.4,0.94,0.89,1,0.84,1.7,0.7,1.6,1.2,0.82,2.1,0.81,1.3,1.6,1,1.3,0.82,1,0.91,0.98,0.54,1.8,0.89,2.4,0.79,0.77,1.1,1,1.1,0.72,1.2,0.92,0.3
"ABI1",1.6,1.3,1.3,1.6,0.41,1,1.3,0.85,0.69,0.81,4.1,0.56,1,1.9,0.5,1.7,1.1,1,1.8,1.2,1.4,2.1,1.3,0.62,1.1,0.99,0.93,0.52,1.2,0.54,0.95,1.1,0.79
"ABI2",4.2,1.3,0.9,0.79,0.66,0.94,1.2,0.82,0.97,1.3,11,0.64,1.7,0.98,1,1.5,1.1,1.3,1.1,0.99,1.1,4.8,0.81,1.2,0.86,1.2,1.1,0.25,0.56,0.78,1.4,0.99,6.5
"ABI3",1.7,1.1,1.1,0.66,0.42,0.82,0.87,1.7,1.2,0.76,0.3,0.62,1.1,1.7,1,1,0.8,1.1,0.84,0.97,0.63,0.13,0.45,1,0.67,0.62,0.97,4.1,0.66,4.5,0.76,1,5.6
"ABI3BP",0.35,1.5,0.86,0.94,0.93,1.5,1.3,1.4,1,1,5.7e+08,0.55,0.7,1.3,0.59,1.1,0.75,1.3,1.5,1.1,1.2,1.2,0.87,0.77,0.92,0.86,1.3,6e+08,1.8,1.8,1.3,0.98,1
"ABL1",3.5,1.1,1.2,1.2,0.74,1,0.67,1,0.78,1,0.6,0.61,0.98,1.3,0.76,1.5,1.1,1.2,1.5,0.96,0.83,1,1.8,0.45,1,1.2,1,0.42,1.2,1.3,0.62,1.3,1.1
"ABL2",1.8,1.7,1,1.6,0.63,1.4,1.2,1,1.2,1.4,4.6,0.95,2.4,1.1,0.82,1.3,1.2,1.1,2.2,0.98,1.3,1.1,1.6,1.1,1.3,1.4,1.3,1.3,2.1,2.7,1.4,1,3.2
"ABLIM1",0.72,0.95,1.3,0.77,0.85,0.96,1.1,0.99,0.9,0.95,1.5,1,0.87,1.9,0.57,1.1,1,0.94,0.45,1.3,1.3,0.59,1.3,0.7,0.85,1,1,0.98,1.4,0.94,1.2,0.97,0.3
"ABLIM2",2.1,1.2,1.2,1.2,1.2,0.82,0.5,1,1.4,1.2,0.47,0.9,0.53,1.2,0.83,1.2,1,1.2,0.66,1.1,0.88,0.28,1.2,0.51,0.75,1.3,1,1,1.1,0.43,1.4,0.94,2
"ABLIM3",1.6,1.2,1,1.3,0.68,1.7,1.2,0.71,1.2,1.1,4.4,0.67,1.2,1.4,1,1.2,1.2,1.2,1.1,1.1,1.5,4.2,1.5,1.3,0.81,0.81,1.1,0.45,2.5,1.1,1.3,1.4,1.6
"ABO",0.53,0.95,0.73,0.69,0.65,0.87,1.9,1.1,0.94,0.89,0.12,0.63,0.53,1.5,0.84,0.84,0.99,1,0.59,1,1.5,1.1,0.98,0.78,0.72,1.2,0.76,2.4,1.2,1.4,2.3,1,0.99
"ABR",2.9,0.82,1.2,0.85,1.3,0.84,0.56,0.79,1.1,0.79,3.7,0.71,0.52,1.5,1,1.2,1,1.3,1.3,1.2,0.74,0.66,4.3,0.69,0.94,1.3,0.84,2.4,0.92,3.2,0.49,0.95,1
"ABRA",2.5,0.78,0.79,0.78,1,0.95,1,1.1,1.1,1.2,0.72,0.92,0.76,1.4,0.84,1,0.76,0.94,1.1,0.98,1.1,1,0.92,2.7,0.8,1,0.9,1,1.6,2.7,1.4,1.3,1
"ABRACL",3.4,0.56,1.4,1.3,0.52,0.74,1.9,1.7,1.1,1,2.1,1.1,0.7,0.96,1,1.2,1.4,0.95,1.5,0.99,1.1,1.2,1.8,0.59,1.2,0.99,1.2,1,1.1,0.2,0.84,1.5,1.7
"ABT1",1.3,0.83,1.2,0.84,1.5,0.79,2.1,1.1,0.91,0.99,2.2,0.6,1.3,1.3,1.6,1.4,0.86,0.86,0.69,0.86,0.91,1.1,2.9,1.3,1.6,1.5,0.98,0.95,1,0.12,0.94,0.86,0.48
"ABT1P1",1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ABTB1",2.2,0.98,0.95,0.71,0.54,1.3,0.42,1.1,1.2,0.85,2.1,0.85,1,2,1.6,1.3,0.69,1.1,1,1.3,0.83,0.53,1.1,0.88,0.76,0.67,1,5.5e+08,1,0.12,1.3,1,0.32
"ABTB2",0.93,1.2,1.1,1.8,0.61,1.1,0.58,0.89,1.1,1.2,1.9,0.75,0.88,1,0.81,1.2,1.4,0.97,1,0.97,1.2,5,0.51,0.46,1,0.8,1.1,4.7e+08,0.69,0.61,0.92,0.79,3.4
"ACAA1",0.98,0.84,1,1.2,0.72,0.99,0.3,1.1,1.1,0.67,3.1,1,0.41,1.6,1.5,0.65,0.79,1.3,0.63,0.92,1.1,0.26,1.7,1,0.77,1.1,1.1,2.9,0.48,0.62,0.52,1.1,0.41
"ACAA2",1.1,1.2,0.86,1.3,1,0.58,0.3,1.4,1.1,0.83,1.3,1,0.33,1.2,1.9,0.85,1.1,1.1,1.3,1.1,1.2,1,1,1.2,1.2,1.1,1.1,2.1,0.42,0.59,1.6,1.9,1.3
"ACACA",3.3,1.4,1.3,1.3,2,0.82,1.1,0.92,0.85,1,4.1,1.2,1.6,1.3,0.68,1.6,1.1,0.96,1.6,1.2,0.88,0.67,1.5,0.69,1.5,1.2,1.2,1,1.7,3.1,0.74,0.8,2.9
"ACACB",2.2,0.97,0.91,0.93,1.6,1,0.99,0.95,0.96,0.78,1.9,0.84,0.57,0.74,1,0.99,0.94,1.1,0.59,1.2,0.52,2.7,0.53,1,0.83,1.2,1.1,0.55,1.8,1.2,1.9,0.78,1
"ACAD10",1.4,1,1.4,0.76,1.3,1.3,0.63,0.86,1.2,0.9,0.76,0.78,0.68,1,1.7,0.96,1.1,1.1,1,1.2,0.64,1.8,2.6,0.39,1.1,1.3,1.2,1.3,1.7,0.9,0.44,0.94,6.3
"ACAD11",0.89,0.9,1.2,1.2,0.6,1.1,2.5,0.95,0.86,0.81,9.4,0.58,0.85,0.95,1.1,0.73,0.87,1,1.6,0.98,0.79,1.1,1.9,0.67,1.2,0.91,1.2,1,1.4,0.99,0.77,1.3,1
"ACAD8",1.1,0.76,1.7,0.7,0.88,1,1.3,0.81,0.93,0.8,2.2,0.56,1,1.3,1.2,1,0.71,1.2,1.1,0.96,0.6,2.8,0.86,0.27,0.99,0.95,1.1,2.3,2.7,0.93,0.59,0.66,1.5
"ACAD9",1.7,1,1.2,0.66,0.91,0.68,0.31,1,1,1.1,5.8e+08,0.66,0.75,1.2,1.1,1.4,1.1,1.1,1.6,1.2,0.83,1,5.6,0.46,0.93,0.9,1.1,1.2,1.1,0.96,1.1,1.3,1.6
"ACADL",0.23,1.1,0.81,0.95,1.1,1,1,0.82,1,1.3,1.1,0.56,0.57,1,1.9,0.64,0.96,1.1,1.1,1.1,0.94,5.5,1.5,2.3,0.95,1,1.4,1,0.79,1.2,1.7,0.65,0.69
"ACADM",1.6,1.3,0.87,0.88,0.81,0.68,1.1,0.62,0.83,0.83,2.3,1,0.62,1.4,1.7,0.93,1,1.1,0.73,0.9,0.87,0.54,0.87,0.46,1.2,0.96,0.94,0.44,0.83,1.1,0.99,1.2,1.1
"ACADS",1.1,0.79,1,0.56,1,0.75,1.3,0.76,1.4,0.76,1.3,0.65,0.46,1.8,1,0.61,0.84,1.2,0.77,1.1,1,0.55,1.9,0.65,0.92,1.3,0.9,0.43,0.84,0.32,0.47,0.93,1.3
"ACADSB",0.6,1.2,0.88,0.84,1.2,0.6,2.2,0.99,1,0.95,1.4,1,0.74,1,1,0.78,0.75,1.1,0.64,1.2,0.85,0.53,2.7,0.67,0.82,1.1,1,2.9,3.1,1.6,0.63,1.1,2
"ACADVL",2.4,0.95,0.95,0.9,1.6,1.2,1.7,1.3,1.3,1,0.61,1.1,0.54,1.3,1.9,0.77,1,0.9,1.5,0.9,0.58,0.45,1.8,1.1,1.1,0.86,1.1,0.91,1.1,7.1,1.1,1.4,1
"ACAN",1,0.96,1.3,1.3,0.97,1.1,1.7,1.3,1.5,0.91,0.86,1.2,2.7,2.2,0.92,1.4,1.1,0.98,2,0.96,0.94,0.46,0.79,0.78,1,0.9,1.1,0.33,1.7,0.57,1,0.98,6.2
"ACAP1",0.29,0.86,0.76,0.53,0.72,1.4,1.6e+09,1.1,1.4,0.77,1.4,1.7,1.2,1.4,1,0.79,0.71,1.1,1,0.75,0.65,0.22,0.67,0.74,0.81,0.65,1.1,6.6e+08,1.4,0.1,0.96,0.97,2.1
"ACAP2",1.6,1.2,1.3,0.65,0.61,1.1,1.2,0.93,0.96,0.82,2.2,0.66,1.6,1.1,1,1.5,1.3,0.8,1.3,1,1.1,4.2,0.53,0.66,1.1,0.93,0.97,1,1.7,1.1,0.92,1,1.1
"ACAP3",2.2,1,1.4,0.98,0.36,1.1,1.7,0.9,0.89,0.84,1.3,1.4,0.6,1.3,0.9,1.4,0.82,0.98,0.85,1.1,0.68,2.8,4.4,1.1,1.5,0.96,1.4,1.3,2.1,1.6,2,1.1,1.1
"ACAT1",0.74,1.3,1.3,0.9,0.97,0.97,0.33,0.79,1,1.2,1.7,1,0.31,1.3,0.65,0.6,0.77,0.98,1.8,1.1,0.67,2,4.2,0.8,0.83,1,1.2,3,1.2,1.8,0.76,1.3,2.3
"ACAT2",2.1,1.3,0.94,1.5,1.2,0.88,0.59,0.64,0.89,0.98,4.1,0.87,0.91,0.93,0.67,1.1,1.6,1,1,1.1,1.5,0.76,1.2,0.47,1.1,0.97,0.95,2.4,1.9,1,0.98,0.84,2.5
"ACBD3",1.5,1.4,1.2,1.7,0.66,0.91,2.2,1.1,1,0.96,9.4,0.78,1.6,0.76,1.2,1.2,1.4,1,1.4,1.1,1.6,4.4,1.2,0.77,1.2,1,0.87,0.98,3,3.1,0.91,0.98,1.2
"ACBD4",0.58,0.75,0.83,1.1,0.77,1.2,0.95,0.85,1.2,0.84,2,1,0.5,2.1,0.85,0.79,0.84,1.1,0.57,1.3,0.65,0.5,1.4,0.3,0.57,0.8,1.1,6.4e+08,1,0.97,0.83,2.1,2.6
"ACBD5",1,0.84,1.5,1.4,0.66,0.92,2.2,1.1,0.96,0.91,4.8,1,0.8,1.3,0.5,0.79,1.3,1.1,0.85,1,1.1,1.3,0.49,0.55,1.2,0.96,0.8,0.32,1.7,0.81,1.2,1.2,1.2
"ACBD6",1,0.95,1.1,0.7,0.89,1.4,1.7,1,1.1,1.1,2.1,0.89,1.7,0.72,0.84,1.4,1,0.82,2.6,0.95,1,4.2,1.8,0.92,1,1,1.2,1,1.4,2.2,0.66,0.59,0.83
"ACBD7",2.9,0.95,1,0.77,1.6,1.3,1.4,1.3,1,0.96,2.4,1.2,2.2,0.97,0.66,1.2,0.88,1.2,1.5,0.96,1.5,1.1,1.3,0.55,1.3,1.1,0.89,0.72,0.91,1.7,1.3,1,0.42
"ACCS",0.73,0.82,0.96,0.93,1.3,1.5,0.23,1,1.5,0.85,9.8,1.3,0.41,0.85,1,1.2,0.82,0.97,0.54,1,0.51,0.88,2.2,0.7,0.59,1,0.87,1.1,1.7,2,0.76,0.7,0.64
"ACCSL",1,1,1,1,1,1,0.19,1,1,1,1,1,1,1,0.84,1,1,1,1,1,1,1,1,1,1,1.4,1,1,1,1,1,1,0.42
"ACD",3,1.3,1.2,0.89,0.53,1.5,0.61,1.1,1,1.2,0.89,0.93,0.83,1.6,0.88,1.6,1.3,1.2,1.7,0.98,0.69,1.2,4.2,0.51,1.3,1,0.89,0.96,1.4,0.53,0.6,0.75,0.57
"ACE",0.97,0.75,1.2,0.93,1.1,1.1,1.3,1.1,1.3,0.85,0.93,0.56,0.96,1.2,1.2,1.1,0.86,1.3,1.5,0.82,0.78,4.4,0.55,0.77,0.78,0.79,0.86,0.43,0.81,1.1,1.4,1.4,3.5
"ACE2",0.63,0.95,1,0.84,0.71,0.73,1.2,1.3,1.1,0.88,1,1,0.65,1,1.8,0.65,1.2,0.76,0.61,0.76,1.1,0.55,0.66,0.6,0.98,1.3,0.88,1.2,1.9,0.88,0.53,0.58,0.72
"ACER1",0.85,1.1,1.4,0.55,1,1,1.7,0.92,0.83,0.8,1.1,1.4,1,1.6,1.2,1,0.57,0.96,0.93,0.92,0.6,1,0.6,1,0.9,1.1,0.96,4.6e+08,1.2,1,1.8,1,1
"ACER2",0.84,0.84,1.1,1,0.56,1.1,1,0.79,1.2,0.99,1.6,1,1.3,1.1,1.3,1.3,0.79,1,0.8,1,1.2,2.5,0.87,0.6,1.1,0.99,1,3.1,0.91,1.6,0.8,1,0.68
"ACER3",1.3,1.2,1.1,1.1,0.73,0.64,0.63,0.92,1.2,1.2,8.9,0.81,1.3,1.7,1.6,1.5,1.2,1.1,1.4,0.96,0.98,2,0.43,0.64,0.65,1.1,1.1,1.3,1.5,0.54,1.5,1.6,1.5
"ACHE",2.6,1.1,1.1,1,0.66,1.5,0.47,1.2,1.3,1.1,0.6,1.5,0.9,0.8,1,0.86,0.79,1.2,1.9,1.1,0.76,1.4,1,1.2,0.95,0.76,0.96,5.5e+08,1.4,3.4,1.9,1.2,2.8
"ACIN1",2.9,1,0.85,0.82,1.1,0.9,1.4,0.81,0.95,0.94,4.1,1.4,1.3,0.92,1.2,1.6,0.98,0.96,0.74,1,0.68,6.4,1.9,0.95,1.2,1.1,1.1,0.43,0.9,0.86,1.1,0.72,2
"ACKR1",1,1.3,0.94,0.58,0.74,0.98,0.68,1.2,1.4,0.84,1.9,0.85,1.1,0.93,1.7,0.51,0.72,1.3,1.5,1.2,0.94,0.7,0.64,1.4,0.57,1,1.2,0.55,1.4,0.92,1.2,1.1,4
"ACKR2",1.1,1.2,1.3,0.94,1.3,0.65,0.92,1.1,1.2,0.8,1.2,0.73,1.3,0.72,1.1,0.65,1.2,1.3,0.76,1.2,0.86,0.43,0.44,1.1,1.1,1.2,1.3,1.3,3.3,3.4,1.4,0.7,0.15
"ACKR3",2.4,1.2,1.5,1.3,1.4,1.1,1,1.1,1,1.1,9,0.98,1.2,1.6,1.4,1.7,1.3,1.1,0.92,1.1,1.1,1.8,0.31,0.57,0.75,1.1,1.5,2.2,4,1.4,1.3,0.73,1.7
"ACKR4",1.3,0.92,1.1,1.2,0.46,0.68,0.97,0.93,1.3,0.82,1,0.77,0.64,0.71,0.63,1.3,0.81,1.1,0.93,0.79,1.5,0.48,1.9,1.2,0.65,0.84,0.94,0.82,0.94,0.81,1.5,1.5,1.9
"ACLY",3.8,1.1,1.2,1.6,0.92,0.92,1.2,1.1,1,1.1,9.9,1,1.5,1.2,1.2,1.6,1.2,1.1,2.2,1.3,0.68,0.97,2,0.45,1.6,1.1,1.3,3,2,0.25,0.8,0.98,2.7
"ACMSD",1.2,0.64,0.84,1.2,1.4,1.3,1.6,1.4,0.74,0.96,1.6,1,0.53,0.87,1,0.72,1.2,1.2,1.2,1.1,0.75,4.6e+08,1.5,0.91,0.92,1.1,1.1,1.2,1.1,1.1,1.1,1.3,1
"ACO1",1.2,1.2,1,1.3,1.2,0.83,0.28,1,1.1,1.2,2.1,1,0.9,1,0.74,0.81,0.91,1.1,0.7,0.97,1,1.9,1.3,0.75,0.98,0.97,0.95,3,1,2.7,0.77,2,2.3
"ACO2",0.47,1.2,1.2,0.72,0.98,0.61,1.2,0.98,0.86,0.89,4.4,1,0.36,1.7,1,1.3,1.1,1,0.86,1.1,1.2,0.47,1.1,0.33,1,1.3,0.82,1,1.2,1.2,0.88,0.97,2.1
"ACOT1",0.7,1.2,0.8,0.66,0.43,1.2,1.6,1.1,1.1,0.94,0.74,0.68,0.73,1.7,0.86,0.78,0.86,1,0.79,0.81,1,5,0.8,1.2,0.81,0.95,1.8,3,0.49,1.5,1.1,1.2,1.9
"ACOT11",1,0.92,1.1,0.87,1.7,0.66,1.3,0.78,1.3,1,3.7,0.71,0.48,1.2,1.7,1.4,1.2,1.4,1.1,1.2,0.8,1.5,0.49,0.66,0.81,1.1,0.85,0.41,1.6,3,0.72,1,0.84
"ACOT12",1,1,1,1,3.4,1,1,1,1.1,1,1,1,1,1.1,2,0.65,1,1,1,1,1,0.8,2.1,1,0.88,1.2,1,1.3,1.1,0.15,1,0.54,0.19
"ACOT13",1.2,0.84,0.93,1,1.3,0.74,1.1,1.3,1.2,1.1,7.1,0.76,1.1,1,1.1,1.1,1.3,0.89,0.89,0.73,1.5,4.6,2.3,0.58,1,1,0.98,0.72,1,0.55,0.8,1.2,1.3
"ACOT2",0.83,1.1,0.79,0.67,1.6,1.1,1.9,0.73,0.95,1.2,1,0.61,0.64,2,0.87,0.85,1.1,0.95,0.72,1,0.73,0.85,1.1,1.1,0.68,1.3,1.6,4.2,1.8,3,1.2,1.2,4
"ACOT4",1.1,1.2,0.7,0.7,0.61,0.76,1.7,0.95,0.94,0.94,1.2,1,0.79,1.3,1.2,0.85,0.98,0.95,0.61,1.1,1.2,1.3,1.2,1.6,0.7,1,1.2,3,0.89,6.4,1,1.1,5
"ACOT6",1.3,1,1.1,1,0.93,1,1,1,1,1,1.1,0.99,0.91,0.91,0.71,0.85,1,1,1,0.97,1,1,3.6,1,1.1,1,1,1,1.8,1,1.7,0.65,1
"ACOT7",4.2,1.1,1.2,1.1,0.96,0.54,0.47,1.3,1.3,1.2,4.9,0.92,2.1,2.4,0.85,1,1.3,1.1,1,0.82,0.86,0.69,0.47,1.3,1.4,0.88,0.7,0.72,0.66,0.35,1.2,1.1,2.8
"ACOT8",1.4,1.2,1.5,0.84,1.3,1,0.81,1.4,1.1,1.1,3,1.1,0.68,1.7,1.4,1,0.88,1,2,1,0.73,0.6,5.3e+08,0.52,1.1,1.1,0.98,0.75,1,0.49,1.6,1.7,4.8
"ACOT9",2.7,1.1,1.2,1,0.82,1,1.7,1.3,0.99,1.5,2.5,0.95,0.91,1.2,1,1.2,1.4,1.3,1.1,1,1.4,0.6,2.3,0.72,1.1,1,1.2,2.8,1.2,2.2,1.3,0.78,1.5
"ACOX1",1.6,0.9,1.1,0.91,0.82,0.65,0.99,0.74,1.1,0.98,3.9,1,0.64,0.55,0.97,0.89,0.87,0.97,0.95,1,1,0.66,3.5,0.43,0.8,1.3,1.1,2.9,0.87,0.86,1.2,0.98,1.1
"ACOX2",1,1.4,1,1.3,1.5,1.1,0.29,1.3,1.3,0.75,1.9,0.82,0.57,2,0.96,0.74,0.95,1.1,0.48,0.89,0.82,0.53,0.8,0.96,0.72,0.64,1.2,1.3,0.9,3.3,0.46,1.2,0.63
"ACOX3",1.6,0.98,0.92,0.82,0.99,0.75,0.36,0.74,0.97,0.72,1.2,1.1,0.39,1.6,1.3,0.97,0.99,1.3,1.2,0.91,0.99,1.6,0.77,0.64,1.1,1.2,0.94,4.3,1.5,0.42,0.55,1.2,4.3
"ACOXL",4.6,0.65,1.1,1.1,0.27,1.4,4,1.2,1.1,0.71,0.77,1.2,1.2,1.1,0.89,0.82,0.83,1.4,1.2,0.91,0.92,1.4,0.76,1.7,1.2,1,1,1,0.9,0.34,1.2,0.96,1.1
"ACP1",4.8,1.5,1.1,1.7,0.91,1,1.1,0.96,1.2,1.2,2.4,1,1.7,0.94,1.7,1.7,1.4,0.83,2,0.85,1.2,1.1,2.1,0.57,1.6,1.1,0.86,0.34,2,0.48,1.3,0.68,1.1
"ACP2",2.2,0.9,0.94,0.75,1.5,1.1,0.91,0.85,1.6,1.1,2.1,0.89,0.52,1.6,1.7,1.6,0.97,1,0.89,0.98,0.61,2.1,0.8,1.7,0.91,0.79,1.1,3.4,0.88,2.2,0.82,0.99,2.1
"ACP5",2.3,0.93,1,0.68,0.69,1.1,0.27,1.4,1.2,0.93,0.52,0.64,0.64,0.87,1.7,0.97,0.83,0.92,0.98,0.91,1,1.1,0.31,0.95,1,0.92,1.2,2.2,1.3,1.1,1.1,1,0.73
"ACP6",2.5,0.85,0.9,0.83,1.3,0.71,1.3,0.92,1.2,1.3,1.2,0.66,0.7,1.7,2,1.4,1.1,1.1,1.1,0.99,0.81,1,0.95,0.28,1.1,0.75,0.9,0.23,0.65,1.3,0.93,0.72,0.74
"ACPP",0.77,1.2,0.93,0.77,0.79,0.63,0.38,1.1,1.1,0.76,1.2,0.93,0.6,1.3,1.8,0.97,1.1,1.1,0.86,1,1.1,0.52,0.34,1.3,0.99,0.74,0.93,2.1,0.95,3.7,0.95,1.2,1.6
"ACR",0.92,1,0.89,1.1,0.69,1.3,1.5,0.89,1.3,1.1,0.52,1.1,0.88,1,0.91,0.71,0.88,1.1,1.2,1.1,0.88,0.28,0.63,0.97,0.7,0.93,1.4,1,1.1,0.52,1.5,0.91,0.67
"ACRBP",1.5,0.83,0.72,0.86,1.6,1.2,0.59,1,1,0.88,0.51,0.88,0.57,1,1.5,1,0.95,1.1,0.94,1.2,0.61,4.7,1.3,0.7,0.81,0.66,1,0.54,1.2,0.23,0.66,2,1.3
"ACRV1",1.6,1,1.1,0.79,2,1.2,1.1,1,0.91,0.77,3.2,1.5,2,1.5,1.6,1.2,1.3,0.88,2,0.99,1.1,5.6e+08,3.4,0.54,1.1,1.5,0.81,0.86,2.2,0.22,0.94,0.59,1.9
"ACSBG1",0.66,0.83,0.95,0.67,1.2,1.9,1.4,1.3,0.88,0.81,0.98,1.2,0.77,1.4,0.87,0.9,0.91,0.93,1.1,1,0.8,1.1,0.57,1.5,1.1,1.1,1,1.3,3.4,0.27,1.3,0.85,2.3
"ACSBG2",0.8,0.88,0.88,1,0.62,1.3,0.7,1,0.82,0.65,2.1,1,1.1,0.74,1.1,1,0.88,0.97,1.4,1.1,0.77,2,2.6,0.53,0.98,0.91,1.1,1.3,0.94,0.64,0.94,0.99,0.85
"ACSF2",0.31,0.71,0.76,0.84,1.3,1.2,1.1,1,1.3,0.97,10,1.3,1.6,2.1,2,0.89,0.75,1.2,0.71,1.3,1.3,0.59,1.8,0.76,1.1,0.84,1.5,0.47,1.5,0.39,1.1,0.86,0.21
"ACSF3",0.71,0.81,1.2,0.96,1.4,0.96,0.79,1.7,0.89,0.88,0.57,0.84,0.37,2.3,1,1,1,1.1,0.79,0.98,0.71,0.38,1.8,0.94,0.9,1.2,1,1.2,0.78,0.11,1.1,0.98,1.5
"ACSL1",1.3,1.2,1.2,0.98,1.9,0.81,0.27,0.76,1.3,1.2,1.4,1,0.86,1.3,2,0.71,0.98,1,0.86,1,1.1,0.47,1.6,2.7,1.1,0.93,1.1,1.2,1.4,8.1,1.6,1.4,3.8
"ACSL3",2.7,1.1,1.1,1.1,1.2,0.99,0.6,0.92,1,1.2,2,0.64,1.3,1.9,1.6,1.7,1.4,1,1.6,1,1.2,1.3,0.93,1,1,0.81,0.96,0.45,1.1,0.39,0.67,1.2,2.5
"ACSL4",0.53,0.85,0.92,1.2,2.7,1,2.4,1.4,1,1.1,1.4,0.81,1.5,1.3,0.74,1.5,1.3,1.2,1.3,1,0.96,1.1,0.58,0.96,1.1,0.76,1,0.57,2.8,1.4,0.9,1.8,1.3
"ACSL5",0.59,0.82,0.75,0.87,1.1,1.2,0.71,1.1,1,0.99,0.82,0.77,1.1,1.9,1.8,0.9,0.91,1.4,1,0.92,1.4,0.24,1.6,0.3,0.8,0.6,0.96,2,0.51,11,0.73,1.3,0.6
"ACSL6",1,1,1,1,1,1,1,1,1.3,1,1,1,1,1,0.78,1,1,1,1,1,1,1.1,1,1,1,1,1,1,1,1,1,1,1
"ACSM1",1.1,0.73,0.82,0.75,0.78,1.1,1.3,0.7,1.3,1.1,0.13,1,0.78,0.58,1.1,0.98,0.92,1.1,0.72,0.83,1.2,0.46,1.8,0.22,0.88,0.64,1.4,0.54,1.5,4.5e+08,0.83,0.92,1
"ACSM2A",1,1,1,1,1.5,1,1,1,1,1,2.6,0.73,0.58,1,1,0.67,1,1,1,1,0.98,1,1,1,0.83,1,1.2,1,1,1,1,1,1
"ACSM2B",1,1,1,1,1.3,1,2.6,1,1,1,1.7,0.69,0.99,1,1,0.71,1,1,1,1,0.74,1,0.76,1,0.89,1,1.5,1,0.83,1,1,1,1
"ACSM3",0.47,0.91,0.88,0.72,0.43,0.8,0.67,0.85,1.3,1.1,0.29,0.74,1.3,0.55,1.9,0.79,1,1.1,0.72,0.65,1.1,0.38,1.8,0.6,0.91,1,0.88,0.42,1.3,2.9,1.2,1.6,0.66
"ACSM5",0.48,1.2,1,0.8,1.1,1.4,0.37,1.2,0.86,0.8,0.51,0.61,0.7,1,1.2,0.67,0.57,1.2,0.55,1,0.6,0.56,1.4,0.82,0.64,0.78,1.7,2.1,1,8.1,1.1,1.1,2.1
"ACSM5P1",1,1,1,1,2.1,1,1,1,1,1,1,0.72,0.9,1,0.94,0.67,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1
"ACSM6",1,0.63,0.92,1,0.99,1,4.3,0.9,1,1,1,1.3,1,1.1,1,1.1,1,1,1,1.3,0.82,1,1,1,1,1,1,2,2.3,0.099,1,1,1
"ACSS1",1.7,1.1,0.88,0.69,1.1,1.4,1.4,1.2,1.2,0.79,3.7,0.74,0.72,1.5,0.94,1.4,0.62,1,1.2,1.2,0.84,0.57,2,0.86,0.8,0.94,0.82,1.4,0.76,6.3,0.9,1.4,2.9
"ACSS2",1.3,1.2,0.79,0.91,1.2,0.9,0.99,0.94,1.7,0.96,2.5,0.94,0.69,1.8,1.5,1.1,0.92,0.97,1,1.2,1.1,2,2.4,0.92,1.1,0.94,0.88,2,0.8,5,1.3,0.89,1
"ACSS3",1,1,1.3,1.1,1.1,1.5,0.52,0.94,1.3,1,1.9,1,0.59,0.57,1.8,0.79,0.82,1.3,0.58,1.2,1.1,0.5,0.57,0.86,1.2,0.91,1.4,2.2,1.3,1.1,0.71,1.2,1.5
