"Gene","ACC_survival_p","BLCA_survival_p","BRCA_survival_p","CESC_survival_p","CHOL_survival_p","COAD_survival_p","DLBC_survival_p","ESCA_survival_p","GBM_survival_p","HNSC_survival_p","KICH_survival_p","KIRC_survival_p","KIRP_survival_p","LAML_survival_p","LGG_survival_p","LIHC_survival_p","LUAD_survival_p","LUSC_survival_p","MESO_survival_p","OV_survival_p","PAAD_survival_p","PCPG_survival_p","PRAD_survival_p","READ_survival_p","SARC_survival_p","SKCM_survival_p","STAD_survival_p","TGCT_survival_p","THCA_survival_p","THYM_survival_p","UCEC_survival_p","UCS_survival_p","UVM_survival_p"
"ABHD17AP3",0.11,0.61,0.8,0.34,0.18,0.7,0.22,0.83,0.57,0.72,0.44,0.33,0.03,0.97,0.049,1,0.49,0.58,0.31,0.35,0.22,0.42,0.83,0.92,0.91,0.36,0.21,0.95,0.73,0.85,0.69,0.14,0.069
"ABHD17AP4",1,0.16,1,0.28,1,1,0.39,0.47,1,0.77,0.82,1,1,0.16,0.66,1,0.45,0.61,1,0.18,1,0.073,0.062,1,0.66,0.8,1,0.2,0.095,0.3,0.93,0.9,0.5
"ABHD17AP5",1,1,0.92,1,1,1,0.18,0.31,0.82,0.71,0.15,0.41,1,0.5,1,1,0.034,0.23,1,0.14,1,0.37,1,1,0.91,0.46,0.12,0.011,0.4,0.35,0.6,0.7,1
"ABHD17AP6",0.73,1,0.72,1,1,1,0.33,0.51,0.13,0.6,0.6,0.54,1,0.96,0.99,1,0.72,0.34,1,0.18,1,0.64,0.29,1,0.0077,0.51,0.062,0.48,0.51,0.26,1,0.38,0.42
"ABHD17B",0.00092,0.55,0.6,0.27,0.12,0.076,0.26,0.3,0.39,0.51,0.79,1,0.68,0.25,0.47,0.078,0.79,0.55,0.037,0.46,0.8,0.93,0.14,0.54,0.092,0.69,0.29,0.49,0.1,0.044,0.074,0.33,0.39
"ABHD17C",0.0014,0.081,0.56,0.48,0.97,0.92,0.69,0.8,0.36,0.79,0.2,0.28,0.24,0.0055,0.8,0.19,0.59,0.17,0.00048,0.97,0.0017,0.02,0.74,0.56,0.61,0.053,0.41,0.96,0.68,0.017,0.31,0.98,0.39
"ABHD2",0.75,0.51,0.33,0.64,0.33,0.11,0.97,0.58,0.79,0.51,0.12,1,0.72,0.93,0.053,0.63,0.84,0.47,0.25,0.021,0.038,0.026,0.65,0.12,0.71,0.42,0.68,0.62,0.052,0.98,0.35,0.53,0.31
"ABHD3",0.0097,0.13,0.69,0.98,0.0049,0.22,0.032,0.74,0.31,0.019,0.5,0.69,0.11,0.93,0.0051,0.01,0.24,0.64,0.0095,0.87,0.51,0.4,0.08,0.28,0.33,0.44,0.55,0.6,0.77,0.005,0.16,0.53,0.0038
"ABHD4",0.33,0.26,0.81,0.88,0.2,0.4,0.71,0.76,0.51,0.66,0.55,0.67,0.084,0.043,0.55,0.13,0.0028,0.33,0.13,0.26,0.14,0.25,0.63,0.018,0.24,0.67,0.52,0.43,0.72,0.19,0.87,0.54,0.18
"ABHD5",0.96,0.25,0.43,0.68,0.15,0.21,0.24,0.45,0.79,0.77,0.018,0.026,0.83,0.43,0.7,0.13,0.29,0.11,0.77,0.47,0.68,0.46,0.58,0.23,0.49,0.13,0.4,0.42,0.097,0.88,0.97,0.18,0.86
"ABHD6",0.86,0.82,0.75,0.9,0.45,0.048,0.07,0.55,0.64,0.56,0.87,1,0.013,0.35,0.0024,0.42,0.16,0.99,0.61,0.51,1,0.068,0.26,0.89,0.69,0.14,0.058,0.62,0.78,0.51,0.6,0.98,0.038
"ABHD8",0.42,0.67,0.5,0.94,0.71,0.027,0.62,0.052,0.31,0.15,0.3,0.18,0.34,0.099,0.92,0.14,0.18,0.93,0.65,0.86,0.0033,0.48,0.86,0.068,0.24,0.053,0.4,0.96,0.92,0.65,0.58,0.79,0.0092
"ABI1",0.2,0.11,0.084,0.05,0.066,1,0.74,0.5,0.04,0.12,0.059,0.00023,1,0.022,0.00012,0.002,0.6,0.98,0.015,0.15,0.14,0.38,0.69,0.34,0.52,0.97,0.63,0.58,0.76,0.39,0.89,0.85,0.6
"ABI2",0.00052,0.14,0.52,0.33,0.37,0.81,0.82,0.41,0.85,0.067,0.0051,0.0052,0.088,0.94,0.8,0.03,0.36,0.1,0.59,0.95,0.57,0.11,0.74,0.64,0.46,0.16,0.5,0.21,0.26,0.72,0.31,0.97,0.00056
"ABI3",0.2,0.52,0.76,0.083,0.072,0.42,0.85,0.026,0.31,0.047,0.11,0.0018,0.87,0.07,1,1,0.14,0.55,0.48,0.79,0.024,0.039,0.23,0.95,0.052,0.00048,0.84,0.21,0.43,0.047,0.46,0.98,0.00035
"ABI3BP",0.01,0.0054,0.36,0.8,0.89,0.12,0.69,0.12,0.9,0.96,0.0033,0.00015,0.24,0.36,0.0037,0.68,0.055,0.044,0.12,0.43,0.41,0.82,0.84,0.6,0.67,0.26,0.13,0.082,0.27,0.43,0.52,0.96,0.94
"ABL1",0.0019,0.52,0.33,0.4,0.55,0.89,0.59,0.95,0.17,0.95,0.48,0.002,0.96,0.42,0.13,0.014,0.66,0.29,0.11,0.76,0.38,0.98,0.38,0.11,0.83,0.18,0.87,0.45,0.66,0.73,0.18,0.49,0.87
"ABL2",0.11,0.00055,0.87,0.067,0.35,0.16,0.82,0.93,0.28,0.027,0.038,0.71,0.0069,0.77,0.27,0.2,0.32,0.46,0.0019,0.87,0.25,0.93,0.47,0.91,0.16,0.015,0.096,0.81,0.16,0.21,0.39,0.94,0.016
"ABLIM1",0.39,0.71,0.12,0.26,0.73,0.86,0.89,0.95,0.57,0.69,0.55,1,0.64,0.019,0.002,0.53,0.76,0.66,0.0011,0.017,0.26,0.55,0.68,0.49,0.43,0.75,0.97,0.99,0.48,0.93,0.58,0.92,0.01
"ABLIM2",0.054,0.19,0.38,0.49,0.72,0.41,0.34,0.99,0.073,0.2,0.28,0.48,0.047,0.51,0.3,0.38,0.96,0.2,0.088,0.37,0.54,0.22,0.78,0.17,0.16,0.062,0.95,0.067,0.83,0.29,0.37,0.87,0.11
"ABLIM3",0.21,0.16,0.79,0.25,0.41,0.036,0.79,0.14,0.28,0.41,0.044,0.0089,0.58,0.23,1,0.22,0.27,0.14,0.62,0.44,0.065,0.16,0.54,0.59,0.28,0.12,0.72,0.48,0.086,0.86,0.4,0.34,0.3
"ABO",0.11,0.73,0.057,0.12,0.39,0.58,0.46,0.66,0.75,0.37,0.019,0.0033,0.04,0.17,0.33,0.33,0.95,0.99,0.028,1,0.049,0.91,0.98,0.64,0.11,0.22,0.088,0.44,0.78,0.61,0.017,0.89,0.98
"ABR",0.0084,0.2,0.25,0.48,0.6,0.48,0.42,0.32,0.59,0.074,0.082,0.026,0.045,0.17,0.98,0.34,0.81,0.095,0.23,0.084,0.15,0.64,0.053,0.44,0.77,0.039,0.29,0.44,0.86,0.13,0.055,0.87,1
"ABRA",0.048,0.14,0.27,0.44,1,0.86,1,0.57,0.8,0.3,0.71,0.61,0.37,0.24,0.41,1,0.11,0.72,0.68,0.91,0.77,0.099,0.9,0.093,0.29,1,0.53,1,0.4,0.21,0.39,0.54,1
"ABRACL",0.0034,0.00018,0.024,0.31,0.18,0.22,0.37,0.031,0.61,0.79,0.28,0.4,0.25,0.88,1,0.34,0.016,0.71,0.098,0.92,0.52,0.79,0.39,0.3,0.47,0.97,0.16,0.074,0.78,0.036,0.63,0.25,0.23
"ABT1",0.46,0.22,0.23,0.45,0.43,0.34,0.31,0.57,0.58,0.97,0.25,0.0012,0.36,0.36,0.015,0.062,0.33,0.26,0.13,0.21,0.65,0.9,0.11,0.6,0.016,0.0019,0.89,0.96,0.94,0.015,0.87,0.66,0.099
"ABT1P1",1,1,1,1,1,1,1,1,1,1,1,1,1,0.18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ABTB1",0.053,0.88,0.73,0.14,0.23,0.24,0.23,0.82,0.32,0.24,0.27,0.31,0.95,0.013,0.0068,0.11,0.016,0.44,0.96,0.054,0.38,0.45,0.92,0.8,0.17,0.0027,0.78,0.065,0.95,0.018,0.52,0.92,0.014
"ABTB2",0.85,0.23,0.45,0.015,0.31,0.78,0.46,0.62,0.44,0.25,0.37,0.067,0.69,0.94,0.24,0.3,0.038,0.85,0.93,0.83,0.29,0.1,0.32,0.11,0.85,0.1,0.6,0.09,0.45,0.49,0.8,0.51,0.011
"ACAA1",0.96,0.25,0.84,0.46,0.49,0.97,0.12,0.65,0.68,0.0033,0.13,1,0.0071,0.1,0.032,0.016,0.13,0.081,0.056,0.49,0.58,0.19,0.43,0.92,0.2,0.56,0.61,0.33,0.17,0.51,0.069,0.71,0.05
"ACAA2",0.88,0.3,0.36,0.32,0.99,0.03,0.12,0.19,0.66,0.17,0.69,1,0.00042,0.51,0.00031,0.36,0.46,0.49,0.33,0.65,0.49,0.96,0.96,0.69,0.46,0.35,0.65,0.52,0.096,0.47,0.17,0.055,0.61
"ACACA",0.0031,0.037,0.11,0.26,0.16,0.41,0.87,0.71,0.36,0.99,0.059,0.19,0.12,0.4,0.036,0.0066,0.55,0.75,0.053,0.19,0.55,0.64,0.52,0.44,0.041,0.11,0.25,0.97,0.3,0.14,0.41,0.52,0.022
"ACACB",0.047,0.85,0.57,0.75,0.35,0.98,0.98,0.82,0.84,0.061,0.35,0.25,0.087,0.3,1,0.96,0.7,0.39,0.025,0.17,0.002,0.25,0.36,0.96,0.34,0.12,0.6,0.62,0.22,0.8,0.065,0.48,1
"ACAD10",0.38,0.92,0.025,0.24,0.58,0.35,0.53,0.51,0.41,0.43,0.68,0.11,0.21,0.92,0.0036,0.83,0.38,0.46,0.94,0.074,0.034,0.47,0.16,0.06,0.61,0.065,0.3,0.78,0.28,0.88,0.023,0.85,0.00074
"ACAD11",0.76,0.5,0.27,0.56,0.28,0.64,0.2,0.82,0.43,0.12,0.01,0.00053,0.6,0.86,0.48,0.072,0.36,0.73,0.078,0.9,0.26,0.89,0.33,0.42,0.33,0.46,0.33,0.97,0.52,0.99,0.46,0.44,0.99
"ACAD8",0.76,0.065,0.0022,0.14,0.8,0.94,0.73,0.36,0.7,0.11,0.26,0.00021,1,0.4,0.27,0.8,0.023,0.14,0.78,0.76,0.018,0.24,0.82,0.015,0.95,0.73,0.71,0.45,0.054,0.92,0.14,0.23,0.33
"ACAD9",0.17,0.92,0.2,0.082,0.85,0.12,0.13,1,0.95,0.64,0.0031,0.008,0.35,0.45,0.5,0.052,0.69,0.67,0.053,0.24,0.36,1,0.015,0.14,0.72,0.42,0.61,0.85,0.85,0.95,0.73,0.43,0.3
"ACADL",0.00027,0.62,0.21,0.83,0.91,1,1,0.39,0.9,0.09,0.92,0.00016,0.075,1,0.00089,0.013,0.8,0.42,0.71,0.58,0.78,0.08,0.55,0.086,0.8,0.94,0.022,0.072,0.64,0.76,0.12,0.2,0.43
"ACADM",0.24,0.14,0.41,0.59,0.66,0.12,0.86,0.039,0.3,0.17,0.23,1,0.13,0.2,0.0046,0.67,0.79,0.6,0.19,0.38,0.51,0.47,0.83,0.14,0.35,0.74,0.72,0.47,0.71,0.93,0.99,0.65,0.83
"ACADS",0.9,0.12,0.89,0.014,0.93,0.24,0.68,0.23,0.045,0.043,0.73,0.0053,0.018,0.039,1,0.0053,0.25,0.27,0.28,0.37,0.83,0.49,0.36,0.37,0.7,0.061,0.49,0.46,0.73,0.15,0.037,0.83,0.56
"ACADSB",0.19,0.34,0.42,0.46,0.69,0.04,0.29,0.98,0.88,0.69,0.64,1,0.32,0.96,1,0.16,0.065,0.72,0.058,0.21,0.43,0.47,0.17,0.4,0.33,0.6,0.77,0.33,0.039,0.49,0.2,0.73,0.15
"ACADVL",0.028,0.73,0.77,0.65,0.37,0.49,0.44,0.31,0.094,0.99,0.48,0.67,0.051,0.42,0.00088,0.14,0.84,0.47,0.098,0.42,0.011,0.35,0.35,0.86,0.78,0.25,0.56,0.93,0.84,0.033,0.82,0.37,1
"ACAN",1,0.81,0.11,0.23,0.96,0.77,0.49,0.22,0.031,0.5,0.83,0.3,0.002,0.061,0.65,0.04,0.62,0.9,0.004,0.75,0.77,0.35,0.72,0.59,0.82,0.46,0.72,0.31,0.29,0.47,0.92,0.95,0.00028
"ACAP1",0.0029,0.32,0.093,0.0076,0.51,0.16,0.0046,0.61,0.039,0.051,0.59,0.00037,0.52,0.22,1,0.19,0.024,0.7,0.99,0.019,0.037,0.12,0.53,0.55,0.3,0.0015,0.57,0.068,0.53,0.012,0.91,0.94,0.11
"ACAP2",0.24,0.25,0.072,0.072,0.31,0.57,0.82,0.78,0.83,0.16,0.25,0.0073,0.12,0.73,0.84,0.033,0.14,0.11,0.31,0.7,0.64,0.15,0.35,0.39,0.8,0.61,0.85,0.97,0.31,0.9,0.81,1,0.84
"ACAP3",0.045,0.92,0.036,0.93,0.042,0.64,0.48,0.67,0.54,0.19,0.73,0.041,0.1,0.3,0.57,0.053,0.2,0.88,0.49,0.33,0.065,0.23,0.042,0.91,0.069,0.78,0.04,0.81,0.15,0.52,0.06,0.72,0.89
"ACAT1",0.44,0.1,0.12,0.66,0.95,0.91,0.16,0.32,0.95,0.3,0.46,1,0.00041,0.33,0.019,0.0041,0.085,0.89,0.02,0.49,0.06,0.42,0.047,0.64,0.37,0.76,0.21,0.32,0.69,0.43,0.45,0.48,0.073
"ACAT2",0.067,0.081,0.68,0.081,0.65,0.6,0.46,0.052,0.51,0.87,0.058,0.35,0.76,0.79,0.029,0.46,0.0034,0.99,1,0.65,0.076,0.75,0.74,0.13,0.74,0.82,0.75,0.43,0.22,0.0013,0.96,0.62,0.051
"ACBD3",0.31,0.045,0.29,0.031,0.4,0.69,0.27,0.68,0.99,0.75,0.0099,0.11,0.13,0.33,0.3,0.22,0.043,0.98,0.18,0.52,0.024,0.14,0.79,0.59,0.44,0.84,0.4,0.98,0.045,0.14,0.79,0.95,0.64
"ACBD4",0.16,0.057,0.25,0.73,0.59,0.41,0.94,0.49,0.25,0.2,0.32,1,0.03,0.0092,0.36,0.18,0.24,0.47,0.02,0.049,0.038,0.42,0.64,0.015,0.0059,0.098,0.68,0.073,0.94,0.97,0.6,0.036,0.041
"ACBD5",0.94,0.25,0.009,0.15,0.38,0.74,0.27,0.83,0.82,0.48,0.032,1,0.48,0.31,0.00014,0.18,0.094,0.51,0.49,0.82,0.5,0.75,0.3,0.23,0.47,0.77,0.17,0.3,0.31,0.77,0.62,0.66,0.69
"ACBD6",1,0.73,0.54,0.14,0.8,0.15,0.49,0.95,0.67,0.54,0.27,0.45,0.081,0.24,0.34,0.068,0.78,0.16,0.00014,0.7,0.9,0.16,0.41,0.86,0.93,0.81,0.19,1,0.51,0.34,0.23,0.13,0.67
"ACBD7",0.0076,0.73,0.88,0.27,0.35,0.33,0.68,0.3,0.93,0.74,0.19,0.32,0.011,0.91,0.02,0.36,0.38,0.18,0.11,0.71,0.047,0.94,0.72,0.27,0.25,0.39,0.45,0.75,0.86,0.45,0.47,0.9,0.07
"ACCS",0.41,0.18,0.79,0.77,0.62,0.12,0.052,0.99,0.015,0.24,0.0083,0.11,0.0065,0.56,1,0.42,0.19,0.81,0.012,0.91,0.0014,0.88,0.24,0.49,0.01,0.75,0.37,0.95,0.28,0.41,0.43,0.3,0.3
"ACCSL",1,1,1,1,1,1,0.097,1,1,1,1,1,1,1,0.36,1,1,1,1,1,1,1,1,1,1,0.011,1,1,1,1,1,1,0.052
"ACD",0.0047,0.095,0.32,0.61,0.19,0.11,0.52,0.75,0.82,0.1,0.86,0.63,0.54,0.1,0.49,0.0099,0.07,0.15,0.036,0.85,0.076,0.83,0.052,0.18,0.22,0.94,0.47,0.97,0.52,0.38,0.17,0.41,0.2
"ACE",0.94,0.062,0.34,0.75,0.86,0.71,0.71,0.78,0.22,0.22,0.91,0.00019,0.88,0.46,0.32,0.72,0.31,0.037,0.12,0.11,0.24,0.14,0.38,0.59,0.21,0.078,0.35,0.46,0.68,0.93,0.32,0.32,0.0054
"ACE2",0.24,0.72,0.86,0.47,0.46,0.2,0.78,0.31,0.73,0.35,0.97,1,0.16,1,0.0016,0.014,0.19,0.053,0.053,0.027,0.55,0.51,0.51,0.29,0.92,0.075,0.4,0.88,0.22,0.86,0.073,0.12,0.5
"ACER1",0.71,0.7,0.05,0.014,1,1,0.45,0.74,0.32,0.095,0.95,0.078,1,0.13,0.49,1,0.00042,0.79,0.75,0.52,0.016,0.19,0.47,1,0.58,0.53,0.81,0.13,0.75,0.00073,0.084,1,1
"ACER2",0.65,0.25,0.54,0.89,0.24,0.59,0.96,0.31,0.29,0.95,0.51,1,0.44,0.85,0.15,0.17,0.13,0.99,0.36,0.7,0.37,0.29,0.84,0.28,0.63,0.94,0.89,0.31,0.85,0.55,0.52,0.9,0.38
"ACER3",0.56,0.18,0.43,0.72,0.52,0.072,0.53,0.72,0.39,0.18,0.013,0.18,0.34,0.051,0.01,0.018,0.15,0.34,0.16,0.73,0.93,0.42,0.2,0.38,0.035,0.58,0.7,0.77,0.44,0.39,0.27,0.2,0.4
"ACHE",0.019,0.54,0.72,0.96,0.4,0.13,0.29,0.49,0.19,0.69,0.48,0.0068,0.73,0.44,0.8,0.4,0.12,0.11,0.0079,0.48,0.19,0.69,0.96,0.7,0.79,0.046,0.81,0.054,0.49,0.11,0.077,0.52,0.026
"ACIN1",0.0064,0.89,0.32,0.39,0.89,0.65,0.68,0.38,0.76,0.63,0.056,0.031,0.46,0.77,0.44,0.0088,0.9,0.78,0.21,0.69,0.066,0.051,0.32,0.92,0.27,0.42,0.55,0.46,0.84,0.84,0.75,0.35,0.16
"ACKR1",0.93,0.12,0.73,0.024,0.55,0.94,0.6,0.52,0.07,0.2,0.37,0.3,0.8,0.79,0.0025,0.00019,0.027,0.08,0.12,0.25,0.77,0.69,0.49,0.52,0.005,0.95,0.21,0.62,0.48,0.91,0.53,0.75,0.0026
"ACKR2",0.79,0.16,0.071,0.79,0.59,0.085,0.91,0.78,0.35,0.099,0.8,0.044,0.35,0.26,0.69,0.015,0.27,0.033,0.25,0.21,0.46,0.32,0.22,0.9,0.5,0.25,0.088,0.78,0.028,0.11,0.39,0.3,0.00058
"ACKR3",0.034,0.14,0.016,0.34,0.49,0.67,0.97,0.61,0.9,0.62,0.012,0.87,0.57,0.11,0.099,0.002,0.055,0.51,0.72,0.62,0.81,0.51,0.12,0.25,0.15,0.37,0.019,0.49,0.019,0.68,0.48,0.34,0.26
"ACKR4",0.47,0.56,0.56,0.49,0.11,0.12,0.96,0.74,0.1,0.14,0.98,0.091,0.14,0.24,0.015,0.19,0.16,0.39,0.77,0.063,0.043,0.39,0.34,0.76,0.031,0.21,0.68,0.85,0.9,0.78,0.26,0.27,0.18
"ACLY",0.0014,0.44,0.17,0.043,0.88,0.73,0.79,0.56,0.97,0.32,0.0081,1,0.17,0.44,0.33,0.011,0.34,0.37,0.0019,0.054,0.06,0.97,0.3,0.12,0.023,0.4,0.14,0.32,0.18,0.073,0.54,0.97,0.03
"ACMSD",0.58,0.0059,0.3,0.42,0.46,0.41,0.53,0.2,0.1,0.76,0.52,1,0.038,0.64,1,0.061,0.22,0.18,0.4,0.53,0.16,0.13,0.54,0.85,0.72,0.72,0.4,0.84,0.82,0.91,0.75,0.49,1
"ACO1",0.69,0.15,0.92,0.23,0.73,0.44,0.097,0.98,0.7,0.26,0.29,1,0.73,0.86,0.1,0.22,0.51,0.44,0.15,0.78,1,0.44,0.65,0.56,0.94,0.84,0.77,0.31,0.93,0.21,0.46,0.052,0.056
"ACO2",0.061,0.17,0.32,0.17,0.97,0.042,0.81,0.94,0.43,0.38,0.045,1,0.0016,0.049,1,0.15,0.75,0.97,0.53,0.63,0.41,0.38,0.94,0.041,0.93,0.039,0.22,0.98,0.74,0.82,0.71,0.93,0.1
"ACOT1",0.36,0.33,0.16,0.075,0.098,0.42,0.53,0.73,0.71,0.66,0.66,0.012,0.3,0.066,0.41,0.15,0.31,0.73,0.33,0.093,0.88,0.1,0.74,0.69,0.29,0.72,0.00038,0.32,0.17,0.6,0.77,0.54,0.15
"ACOT11",1,0.56,0.51,0.55,0.26,0.096,0.74,0.28,0.12,0.74,0.08,0.03,0.023,0.54,0.0041,0.048,0.28,0.013,0.71,0.11,0.28,0.65,0.29,0.4,0.29,0.45,0.32,0.44,0.35,0.15,0.35,0.99,0.7
"ACOT12",1,1,1,1,0.018,1,1,1,0.53,1,1,0.87,1,0.83,0.00022,0.014,1,1,1,1,1,0.81,0.3,1,0.54,0.26,1,0.77,0.89,0.043,1,0.12,0.0012
"ACOT13",0.65,0.24,0.65,0.89,0.61,0.22,0.88,0.31,0.26,0.47,0.032,0.076,0.73,1,0.58,0.58,0.084,0.39,0.62,0.012,0.059,0.13,0.21,0.26,0.95,1,0.91,0.74,0.99,0.41,0.52,0.64,0.51
"ACOT2",0.63,0.7,0.14,0.089,0.34,0.58,0.42,0.17,0.76,0.19,0.98,0.0012,0.14,0.018,0.43,0.37,0.73,0.71,0.18,0.88,0.13,0.84,0.93,0.81,0.062,0.077,0.0024,0.2,0.23,0.15,0.53,0.56,0.0026
"ACOT4",0.74,0.21,0.035,0.14,0.3,0.27,0.48,0.82,0.7,0.64,0.76,1,0.44,0.39,0.29,0.37,0.88,0.69,0.042,0.29,0.35,0.79,0.79,0.31,0.073,0.77,0.26,0.32,0.82,0.047,0.98,0.85,0.00086
"ACOT6",0.6,1,0.63,1,0.86,1,1,1,0.88,1,0.91,0.97,0.78,0.75,0.068,0.36,1,1,1,0.84,1,1,0.093,1,0.62,1,1,1,0.26,1,0.17,0.21,1
"ACOT7",0.00042,0.38,0.24,0.68,0.94,0.013,0.3,0.3,0.13,0.11,0.03,0.57,0.017,0.002,0.38,1,0.05,0.32,1,0.1,0.46,0.69,0.27,0.54,0.098,0.34,0.025,0.75,0.42,0.16,0.63,0.71,0.028
"ACOT8",0.36,0.18,0.016,0.46,0.56,0.89,0.77,0.14,0.45,0.54,0.15,0.66,0.21,0.069,0.095,1,0.41,0.77,0.0048,0.78,0.13,0.57,0.0031,0.18,0.54,0.48,0.92,0.78,0.99,0.32,0.18,0.16,0.00083
"ACOT9",0.015,0.53,0.22,0.99,0.69,0.85,0.45,0.26,0.95,0.0037,0.19,0.71,0.77,0.47,1,0.26,0.021,0.08,0.72,0.81,0.076,0.56,0.21,0.5,0.78,0.83,0.27,0.36,0.77,0.28,0.48,0.47,0.36
"ACOX1",0.23,0.48,0.64,0.69,0.68,0.086,0.99,0.19,0.54,0.91,0.069,1,0.15,0.042,0.88,0.49,0.37,0.81,0.84,0.9,0.92,0.62,0.074,0.082,0.26,0.056,0.58,0.34,0.78,0.84,0.55,0.97,0.87
"ACOX2",0.91,0.019,0.93,0.34,0.38,0.66,0.11,0.25,0.17,0.034,0.37,0.21,0.073,0.02,0.82,0.092,0.73,0.72,0.0025,0.35,0.35,0.46,0.73,0.93,0.11,0.0011,0.27,0.8,0.84,0.12,0.038,0.54,0.29
"ACOX3",0.23,0.9,0.6,0.39,0.98,0.24,0.19,0.19,0.85,0.014,0.76,0.4,0.0033,0.087,0.21,0.85,0.95,0.058,0.44,0.46,0.96,0.6,0.69,0.36,0.67,0.26,0.68,0.18,0.44,0.27,0.09,0.56,0.002
"ACOXL",0.00043,0.0053,0.53,0.75,0.018,0.15,0.069,0.44,0.79,0.014,0.7,0.26,0.57,0.82,0.53,0.31,0.23,0.015,0.39,0.45,0.68,0.69,0.67,0.29,0.42,1,0.89,1,0.83,0.14,0.65,0.9,0.92
"ACP1",0.00022,0.0047,0.61,0.032,0.85,0.99,0.92,0.86,0.45,0.17,0.21,1,0.081,0.83,0.0026,0.0018,0.028,0.17,0.0042,0.19,0.37,0.9,0.25,0.24,0.015,0.45,0.35,0.33,0.16,0.31,0.42,0.26,0.76
"ACP2",0.044,0.5,0.73,0.23,0.42,0.83,0.9,0.47,0.011,0.5,0.29,0.47,0.037,0.09,0.0037,0.0076,0.86,0.97,0.63,0.86,0.017,0.39,0.74,0.28,0.64,0.077,0.65,0.27,0.79,0.27,0.56,0.97,0.088
"ACP5",0.043,0.65,1,0.1,0.44,0.69,0.084,0.17,0.27,0.59,0.36,0.0037,0.15,0.65,0.0028,0.88,0.23,0.53,0.93,0.43,0.87,0.87,0.12,0.92,0.92,0.53,0.28,0.48,0.65,0.91,0.87,0.91,0.47
"ACP6",0.023,0.27,0.5,0.43,0.62,0.17,0.7,0.72,0.36,0.047,0.8,0.0068,0.25,0.048,0.00012,0.038,0.6,0.58,0.62,0.91,0.31,1,0.94,0.017,0.68,0.038,0.52,0.19,0.41,0.69,0.85,0.34,0.5
"ACPP",0.5,0.21,0.67,0.27,0.64,0.063,0.23,0.77,0.55,0.042,0.82,0.65,0.11,0.41,0.0012,0.88,0.7,0.69,0.55,0.8,0.63,0.59,0.16,0.64,0.95,0.03,0.63,0.51,0.91,0.091,0.87,0.57,0.29
"ACR",0.84,0.87,0.47,0.7,0.43,0.24,0.6,0.63,0.16,0.51,0.34,0.75,0.69,0.97,0.6,0.051,0.43,0.46,0.43,0.35,0.54,0.23,0.47,0.95,0.077,0.58,0.044,1,0.86,0.42,0.25,0.78,0.39
"ACRBP",0.28,0.21,0.042,0.53,0.32,0.53,0.47,1,0.89,0.36,0.34,0.4,0.076,0.99,0.028,0.86,0.75,0.7,0.78,0.22,0.019,0.12,0.64,0.44,0.31,0.0026,0.91,0.61,0.78,0.054,0.25,0.052,0.57
"ACRV1",0.25,0.77,0.56,0.32,0.14,0.5,0.9,0.91,0.63,0.057,0.12,0.0094,0.033,0.18,0.01,0.35,0.13,0.36,0.01,0.94,0.78,0.031,0.067,0.27,0.54,0.002,0.19,0.88,0.14,0.052,0.87,0.12,0.22
"ACSBG1",0.29,0.23,0.77,0.097,0.66,0.015,0.66,0.26,0.49,0.13,0.97,0.27,0.4,0.21,0.43,0.57,0.56,0.59,0.84,0.78,0.3,0.92,0.38,0.42,0.79,0.34,0.95,0.78,0.044,0.091,0.5,0.65,0.061
"ACSBG2",0.58,0.43,0.42,0.91,0.32,0.37,0.63,1,0.3,0.004,0.28,0.83,0.82,0.29,0.46,1,0.42,0.86,0.23,0.48,0.23,0.44,0.16,0.18,0.92,0.49,0.69,0.79,0.9,0.55,0.87,0.97,0.73
"ACSF2",0.0037,0.024,0.097,0.46,0.64,0.52,0.9,0.89,0.11,0.83,0.0063,0.1,0.12,0.0078,0.00019,0.51,0.055,0.15,0.16,0.07,0.25,0.55,0.36,0.57,0.68,0.19,0.018,0.53,0.4,0.24,0.81,0.66,0.00093
"ACSF3",0.37,0.17,0.35,0.85,0.45,0.88,0.75,0.021,0.52,0.36,0.42,0.25,0.0021,0.0043,0.88,0.85,0.8,0.57,0.32,0.85,0.11,0.26,0.4,0.89,0.61,0.21,0.83,0.83,0.62,0.011,0.71,0.93,0.37
"ACSL1",0.54,0.16,0.26,0.94,0.16,0.39,0.088,0.25,0.2,0.23,0.65,1,0.61,0.4,0.00012,0.052,0.86,0.89,0.54,0.94,0.64,0.38,0.45,0.052,0.56,0.61,0.71,0.83,0.47,0.02,0.15,0.33,0.0053
"ACSL3",0.011,0.61,0.4,0.71,0.66,0.97,0.48,0.71,0.85,0.26,0.33,0.0047,0.37,0.031,0.0097,0.0035,0.025,0.83,0.045,0.83,0.38,0.77,0.91,0.95,0.92,0.11,0.78,0.5,0.87,0.21,0.27,0.67,0.048
"ACSL4",0.11,0.29,0.6,0.54,0.045,0.99,0.23,0.19,0.94,0.47,0.59,0.17,0.23,0.39,0.1,0.021,0.076,0.15,0.34,0.98,0.84,0.88,0.44,0.93,0.74,0.046,0.84,0.64,0.067,0.66,0.77,0.09,0.53
